10kParcel	vox_count	schaefer18_1kParcel7Net
1.0	816.0	934.0
2.0	198.0	303.0
3.0	496.0	23.0
4.0	456.0	661.0
5.0	170.0	
6.0	169.0	
7.0	247.0	515.0
8.0	193.0	
9.0	442.0	469.0
10.0	634.0	78.0
11.0	283.0	
12.0	391.0	986.0
13.0	484.0	744.0
14.0	212.0	309.0
15.0	171.0	
16.0	349.0	105.0
17.0	593.0	824.0
18.0	606.0	892.0
19.0	279.0	
20.0	374.0	796.0
21.0	501.0	340.0
22.0	440.0	302.0
23.0	412.0	730.0
24.0	167.0	837.0
25.0	507.0	343.0
26.0	272.0	832.0
27.0	291.0	835.0
28.0	505.0	193.0
29.0	331.0	225.0
30.0	388.0	6.0
31.0	528.0	969.0
32.0	468.0	551.0
33.0	188.0	1.0
34.0	416.0	61.0
35.0	614.0	512.0
36.0	177.0	
37.0	401.0	764.0
38.0	385.0	900.0
39.0	337.0	167.0
40.0	80.0	
41.0	94.0	
42.0	228.0	
43.0	423.0	456.0
44.0	400.0	761.0
45.0	175.0	
46.0	250.0	
47.0	638.0	178.0
48.0	402.0	813.0
49.0	447.0	238.0
50.0	310.0	736.0
51.0	627.0	990.0
52.0	126.0	
53.0	331.0	
54.0	263.0	289.0
55.0	293.0	596.0
56.0	408.0	899.0
57.0	378.0	420.0
58.0	735.0	458.0
59.0	594.0	929.0
60.0	401.0	997.0
61.0	411.0	508.0
62.0	515.0	696.0
63.0	498.0	138.0
64.0	133.0	503.0
65.0	265.0	817.0
66.0	94.0	
67.0	358.0	56.0
68.0	415.0	326.0
69.0	416.0	683.0
70.0	113.0	
71.0	297.0	464.0
72.0	602.0	874.0
73.0	335.0	157.0
74.0	635.0	957.0
75.0	575.0	9.0
76.0	339.0	
77.0	311.0	657.0
78.0	348.0	83.0
79.0	178.0	311.0
80.0	233.0	
81.0	450.0	17.0
82.0	107.0	
83.0	142.0	
84.0	151.0	522.0
85.0	157.0	501.0
86.0	483.0	573.0
87.0	368.0	787.0
88.0	588.0	590.0
89.0	76.0	
90.0	197.0	
91.0	499.0	181.0
92.0	280.0	502.0
93.0	265.0	2.0
94.0	311.0	685.0
95.0	663.0	690.0
96.0	214.0	246.0
97.0	506.0	505.0
98.0	358.0	235.0
99.0	283.0	272.0
100.0	319.0	
101.0	183.0	
102.0	207.0	501.0
103.0	144.0	25.0
104.0	142.0	
105.0	127.0	
106.0	109.0	513.0
107.0	233.0	486.0
108.0	173.0	315.0
109.0	182.0	509.0
110.0	176.0	
111.0	282.0	179.0
112.0	124.0	246.0
113.0	140.0	
114.0	166.0	823.0
115.0	238.0	658.0
116.0	374.0	607.0
117.0	202.0	276.0
118.0	473.0	516.0
119.0	134.0	
120.0	249.0	992.0
121.0	108.0	519.0
122.0	192.0	311.0
123.0	242.0	11.0
124.0	187.0	
125.0	399.0	770.0
126.0	354.0	952.0
127.0	258.0	707.0
128.0	379.0	295.0
129.0	201.0	175.0
130.0	272.0	
131.0	185.0	500.0
132.0	123.0	830.0
133.0	338.0	872.0
134.0	173.0	
135.0	256.0	767.0
136.0	384.0	497.0
137.0	477.0	448.0
138.0	426.0	744.0
139.0	150.0	
140.0	170.0	333.0
141.0	263.0	509.0
142.0	105.0	819.0
143.0	312.0	373.0
144.0	158.0	22.0
145.0	431.0	397.0
146.0	87.0	
147.0	346.0	379.0
148.0	331.0	988.0
149.0	214.0	811.0
150.0	442.0	72.0
151.0	269.0	210.0
152.0	359.0	550.0
153.0	416.0	
154.0	135.0	
155.0	299.0	656.0
156.0	135.0	
157.0	108.0	830.0
158.0	173.0	294.0
159.0	176.0	826.0
160.0	147.0	
161.0	129.0	
162.0	383.0	395.0
163.0	250.0	584.0
164.0	278.0	140.0
165.0	234.0	174.0
166.0	335.0	200.0
167.0	361.0	
168.0	193.0	295.0
169.0	257.0	
170.0	338.0	114.0
171.0	257.0	143.0
172.0	247.0	227.0
173.0	180.0	501.0
174.0	105.0	
175.0	127.0	524.0
176.0	181.0	524.0
177.0	193.0	146.0
178.0	332.0	14.0
179.0	481.0	580.0
180.0	96.0	
181.0	460.0	732.0
182.0	335.0	447.0
183.0	296.0	667.0
184.0	127.0	
185.0	113.0	
186.0	336.0	268.0
187.0	416.0	342.0
188.0	144.0	498.0
189.0	121.0	
190.0	298.0	
191.0	326.0	752.0
192.0	132.0	832.0
193.0	437.0	435.0
194.0	119.0	
195.0	229.0	450.0
196.0	178.0	317.0
197.0	170.0	771.0
198.0	173.0	
199.0	469.0	446.0
200.0	218.0	142.0
201.0	92.0	
202.0	368.0	694.0
203.0	122.0	503.0
204.0	259.0	130.0
205.0	179.0	
206.0	220.0	28.0
207.0	206.0	737.0
208.0	104.0	
209.0	469.0	925.0
210.0	379.0	896.0
211.0	389.0	255.0
212.0	159.0	303.0
213.0	225.0	165.0
214.0	328.0	279.0
215.0	309.0	545.0
216.0	641.0	391.0
217.0	256.0	
218.0	72.0	
219.0	343.0	357.0
220.0	158.0	
221.0	339.0	869.0
222.0	242.0	
223.0	167.0	3.0
224.0	223.0	
225.0	195.0	311.0
226.0	99.0	
227.0	231.0	745.0
228.0	184.0	805.0
229.0	156.0	457.0
230.0	92.0	500.0
231.0	258.0	386.0
232.0	154.0	
233.0	265.0	
234.0	83.0	
235.0	93.0	841.0
236.0	201.0	338.0
237.0	230.0	123.0
238.0	359.0	564.0
239.0	199.0	62.0
240.0	264.0	360.0
241.0	205.0	534.0
242.0	111.0	626.0
243.0	80.0	
244.0	80.0	
245.0	264.0	94.0
246.0	475.0	984.0
247.0	302.0	963.0
248.0	163.0	2.0
249.0	183.0	931.0
250.0	106.0	771.0
251.0	123.0	842.0
252.0	228.0	396.0
253.0	162.0	
254.0	242.0	506.0
255.0	62.0	
256.0	180.0	
257.0	252.0	639.0
258.0	143.0	776.0
259.0	340.0	884.0
260.0	246.0	663.0
261.0	453.0	882.0
262.0	103.0	
263.0	228.0	739.0
264.0	375.0	977.0
265.0	295.0	913.0
266.0	227.0	51.0
267.0	193.0	173.0
268.0	348.0	506.0
269.0	239.0	117.0
270.0	246.0	773.0
271.0	292.0	21.0
272.0	214.0	303.0
273.0	400.0	241.0
274.0	313.0	432.0
275.0	191.0	573.0
276.0	255.0	8.0
277.0	193.0	861.0
278.0	259.0	266.0
279.0	132.0	798.0
280.0	328.0	688.0
281.0	119.0	837.0
282.0	150.0	502.0
283.0	619.0	883.0
284.0	148.0	819.0
285.0	110.0	812.0
286.0	580.0	695.0
287.0	237.0	462.0
288.0	373.0	960.0
289.0	153.0	20.0
290.0	271.0	307.0
291.0	109.0	396.0
292.0	143.0	
293.0	460.0	89.0
294.0	148.0	460.0
295.0	160.0	19.0
296.0	185.0	
297.0	66.0	
298.0	230.0	
299.0	102.0	41.0
300.0	158.0	359.0
301.0	329.0	425.0
302.0	119.0	
303.0	98.0	834.0
304.0	250.0	628.0
305.0	212.0	234.0
306.0	110.0	13.0
307.0	295.0	310.0
308.0	150.0	
309.0	246.0	867.0
310.0	230.0	361.0
311.0	388.0	58.0
312.0	426.0	
313.0	202.0	
314.0	257.0	676.0
315.0	94.0	295.0
316.0	256.0	933.0
317.0	150.0	841.0
318.0	448.0	715.0
319.0	386.0	270.0
320.0	139.0	231.0
321.0	240.0	880.0
322.0	158.0	253.0
323.0	558.0	409.0
324.0	415.0	749.0
325.0	428.0	855.0
326.0	68.0	
327.0	98.0	503.0
328.0	170.0	49.0
329.0	103.0	297.0
330.0	92.0	
331.0	355.0	435.0
332.0	196.0	825.0
333.0	271.0	868.0
334.0	128.0	
335.0	136.0	828.0
336.0	187.0	76.0
337.0	186.0	
338.0	128.0	647.0
339.0	154.0	501.0
340.0	243.0	492.0
341.0	121.0	302.0
342.0	181.0	4.0
343.0	86.0	
344.0	106.0	226.0
345.0	222.0	561.0
346.0	282.0	176.0
347.0	91.0	
348.0	139.0	
349.0	95.0	
350.0	222.0	892.0
351.0	329.0	419.0
352.0	200.0	808.0
353.0	280.0	252.0
354.0	527.0	455.0
355.0	83.0	513.0
356.0	209.0	387.0
357.0	201.0	452.0
358.0	252.0	29.0
359.0	89.0	13.0
360.0	209.0	517.0
361.0	167.0	817.0
362.0	147.0	11.0
363.0	308.0	728.0
364.0	208.0	271.0
365.0	150.0	531.0
366.0	100.0	826.0
367.0	121.0	132.0
368.0	145.0	314.0
369.0	118.0	1.0
370.0	259.0	351.0
371.0	206.0	544.0
372.0	236.0	564.0
373.0	235.0	963.0
374.0	125.0	662.0
375.0	199.0	222.0
376.0	258.0	755.0
377.0	121.0	523.0
378.0	147.0	124.0
379.0	245.0	517.0
380.0	169.0	227.0
381.0	78.0	832.0
382.0	157.0	
383.0	113.0	
384.0	176.0	828.0
385.0	102.0	
386.0	88.0	
387.0	184.0	935.0
388.0	660.0	402.0
389.0	228.0	956.0
390.0	160.0	144.0
391.0	105.0	147.0
392.0	88.0	
393.0	78.0	
394.0	352.0	617.0
395.0	165.0	
396.0	129.0	
397.0	252.0	423.0
398.0	171.0	978.0
399.0	274.0	534.0
400.0	415.0	14.0
